section,row,pui,order_id,payment_id,amount,error,reason
error,2,6202,,,,"Payment mode not found: ""Cheque""",
error,3,6238,,,,"Payment mode not found: ""Cheque""",
error,4,6255,,,,"Payment mode not found: ""Cheque""",
error,5,6323,,,,"Payment mode not found: ""Cheque""",
error,6,6352,,,,"Payment mode not found: ""Cheque""",
error,7,6417,,,,"Payment mode not found: ""Cheque""",
error,8,6489,,,,"Payment mode not found: ""Cheque""",
error,9,6511,,,,"Payment mode not found: ""Cheque""",
error,10,6540,,,,"Payment mode not found: ""Cheque""",
error,11,6603,,,,"Payment mode not found: ""Cheque""",
error,12,7031,,,,"Payment mode not found: ""Cash""",
error,13,6637,,,,"Payment mode not found: ""Cash""",
error,14,6760,,,,"Payment mode not found: ""UPI / QR Code""",
error,15,6772,,,,"Payment mode not found: ""Cash""",
error,16,6634,,,,"Payment mode not found: ""Cheque""",
error,17,7017,,,,"Payment mode not found: ""Loan Payment""",
error,18,6090,,,,"Payment mode not found: ""NEFT / RTGS""",
error,19,6868,,,,"Payment mode not found: ""UPI / QR Code""",
error,20,7001,,,,"Payment mode not found: ""Cash""",
error,21,7017,,,,"Payment mode not found: ""UPI / QR Code""",
error,22,7017,,,,"Payment mode not found: ""UPI / QR Code""",
error,23,7017,,,,"Payment mode not found: ""UPI / QR Code""",
error,24,6366,,,,"Payment mode not found: ""Cheque""",
error,25,7017,,,,"Payment mode not found: ""Cash""",
error,26,6588,,,,"Payment mode not found: ""Cash""",
error,27,6473,,,,"Payment mode not found: ""Cheque""",
error,28,5603,,,,"Payment mode not found: ""Cash""",
error,29,7017,,,,"Payment mode not found: ""UPI / QR Code""",
error,30,7017,,,,"Payment mode not found: ""UPI / QR Code""",
error,31,7017,,,,"Payment mode not found: ""UPI / QR Code""",
error,32,7017,,,,"Payment mode not found: ""UPI / QR Code""",
error,33,6800,,,,"Payment mode not found: ""Cash""",
error,34,6090,,,,"Payment mode not found: ""Cheque""",
error,35,6311,,,,"Payment mode not found: ""Cheque""",
error,36,6510,,,,"Payment mode not found: ""Cheque""",
error,37,6895,,,,"Payment mode not found: ""Cash""",
error,38,6516,,,,"Payment mode not found: ""UPI / QR Code""",
error,39,6630,,,,"Payment mode not found: ""UPI / QR Code""",
error,40,5957,,,,"Payment mode not found: ""Loan Payment""",
error,41,6229,,,,"Payment mode not found: ""Cash""",
error,42,6719,,,,"Payment mode not found: ""Cash""",
error,43,6080,,,,"Payment mode not found: ""UPI / QR Code""",
error,44,6983,,,,"Payment mode not found: ""Cash""",
error,45,6758,,,,"Payment mode not found: ""Cash""",
error,46,6571,,,,"Payment mode not found: ""Cash""",
error,47,6266,,,,"Payment mode not found: ""Cash""",
error,48,6308,,,,"Payment mode not found: ""UPI / QR Code""",
error,49,6675,,,,"Payment mode not found: ""Cash""",
error,50,6450,,,,"Payment mode not found: ""Loan Payment""",
error,51,6080,,,,"Payment mode not found: ""Cheque""",
