row,order_number,serial_number,error
264,4046,MS2504122A0694,serial_number: serial_number must be unique
265,4046,MS2504122A1874,serial_number: serial_number must be unique
266,4046,MS2504112B1819,serial_number: serial_number must be unique
267,4046,MS2504122A2319,serial_number: serial_number must be unique
268,4046,MS2504072C0667,serial_number: serial_number must be unique
269,4046,MS2502102B3903,serial_number: serial_number must be unique
270,4046,SYS119116169286,serial_number: serial_number must be unique
1557,5079,AS250725112460,serial_number: serial_number must be unique
1558,5079,AS250725111688,serial_number: serial_number must be unique
1559,5079,AS250726120359,serial_number: serial_number must be unique
1560,5079,AS250726120357,serial_number: serial_number must be unique
1561,5079,AS2506181A1040,serial_number: serial_number must be unique
1562,5079,AS2506161A0630,serial_number: serial_number must be unique
3394,6297,WS11259057199625,serial_number: serial_number must be unique
3395,6297,WS11259058229573,serial_number: serial_number must be unique
3396,6297,WS11259058229686,serial_number: serial_number must be unique
3397,6297,WS11259057199584,serial_number: serial_number must be unique
3662,6396,1.19116E+14,serial_number: serial_number must be unique
3682,6404,1.19116E+14,serial_number: serial_number must be unique
3736,6428,1.19116E+14,serial_number: serial_number must be unique
3860,6489,1.19116E+14,serial_number: serial_number must be unique
3899,6517,1.19116E+14,serial_number: serial_number must be unique
3944,6540,1.19116E+14,serial_number: serial_number must be unique
3951,6550,1.19116E+14,serial_number: serial_number must be unique
3986,6574,1.19116E+14,serial_number: serial_number must be unique
3987,6574,1.19116E+14,serial_number: serial_number must be unique
4047,6611,1.19116E+14,serial_number: serial_number must be unique
4060,6620,1.19116E+14,serial_number: serial_number must be unique
4117,6759,1.19116E+14,serial_number: serial_number must be unique
