row,order_number,serial_number,reason
2,4,MS2504122A0694,"Duplicate serial (same product, no update needed)"
3,4,(empty),Empty serial_number
4,4,MS2504122A1874,"Duplicate serial (same product, no update needed)"
5,4,(empty),Empty serial_number
6,4,MS2504112B1819,"Duplicate serial (same product, no update needed)"
7,4,(empty),Empty serial_number
8,4,MS2504122A2319,"Duplicate serial (same product, no update needed)"
9,4,MS2504072C0667,"Duplicate serial (same product, no update needed)"
10,4,(empty),Empty serial_number
11,4,MS2502102B3903,"Duplicate serial (same product, no update needed)"
12,4,SYS119116169286,"Duplicate serial (same product, no update needed)"
13,4,MS2504122A0694,"Duplicate serial (same product, no update needed)"
14,4,MS2504122A1874,"Duplicate serial (same product, no update needed)"
15,4,MS2504112B1819,"Duplicate serial (same product, no update needed)"
16,4,MS2504122A2319,"Duplicate serial (same product, no update needed)"
17,4,MS2504072C0667,"Duplicate serial (same product, no update needed)"
18,4,MS2502102B3903,"Duplicate serial (same product, no update needed)"
19,4,SYS119116169286,"Duplicate serial (same product, no update needed)"
20,4023,2411093314,"Duplicate serial (same product, no update needed)"
21,4025,RSEQTG4140425229604,"Duplicate serial (same product, no update needed)"
22,4025,RSEQTG4140425229594,"Duplicate serial (same product, no update needed)"
23,4025,RSEQTG5180425226670,"Duplicate serial (same product, no update needed)"
24,4025,RSEQTG4140425230453,"Duplicate serial (same product, no update needed)"
25,4025,RSEQTG4140425229904,"Duplicate serial (same product, no update needed)"
26,4025,RSEQTG4140425229784,"Duplicate serial (same product, no update needed)"
27,4025,RSEQTG4140425229675,"Duplicate serial (same product, no update needed)"
28,4025,RSEQTG4140425229605,"Duplicate serial (same product, no update needed)"
29,4025,RSEQTG5180425227075,"Duplicate serial (same product, no update needed)"
30,4025,RSEPTG5190225320405,"Duplicate serial (same product, no update needed)"
31,4025,RSEPTG5190225320368,"Duplicate serial (same product, no update needed)"
32,4025,RSEPTG5190225320140,"Duplicate serial (same product, no update needed)"
33,4025,RSEQTG4140425230428,"Duplicate serial (same product, no update needed)"
34,4025,RSEQTG4140425229608,"Duplicate serial (same product, no update needed)"
35,4025,SYS11911SC23649,"Duplicate serial (same product, no update needed)"
36,4029,WS02249031598561,"Duplicate serial (same product, no update needed)"
37,4029,WS02249031598544,"Duplicate serial (same product, no update needed)"
38,4029,WS02249031598546,"Duplicate serial (same product, no update needed)"
39,4029,WS02249031598642,"Duplicate serial (same product, no update needed)"
40,4029,WS02249031598644,"Duplicate serial (same product, no update needed)"
