order_number,order_date,serial_number,product_name,item_type,registration_no
4,30-04-2025,MS2504122A0694,ADANI DCR BIFACIAL 550 WP,Solar Panel,NP-GJUG25-7571246
4,30-04-2025,,ADANI DCR BIFACIAL 550 WP,Solar Panel,NP-GJUG25-7571246
4,30-04-2025,MS2504122A1874,ADANI DCR BIFACIAL 550 WP,Solar Panel,NP-GJUG25-7571246
4,30-04-2025,,ADANI DCR BIFACIAL 550 WP,Solar Panel,NP-GJUG25-7571246
4,30-04-2025,MS2504112B1819,ADANI DCR BIFACIAL 550 WP,Solar Panel,NP-GJUG25-7571246
4,30-04-2025,,ADANI DCR BIFACIAL 550 WP,Solar Panel,NP-GJUG25-7571246
4,30-04-2025,MS2504122A2319,ADANI DCR BIFACIAL 550 WP,Solar Panel,NP-GJUG25-7571246
4,30-04-2025,MS2504072C0667,ADANI DCR BIFACIAL 550 WP,Solar Panel,NP-GJUG25-7571246
4,30-04-2025,,ADANI DCR BIFACIAL 550 WP,Solar Panel,NP-GJUG25-7571246
4,30-04-2025,MS2502102B3903,ADANI DCR BIFACIAL 550 WP,Solar Panel,NP-GJUG25-7571246
4,30-04-2025,SYS119116169286,SOLAR YAAN 3.3 KW,Inverter,NP-GJUG25-7571246
4,30-04-2025,MS2504122A0694,ADANI DCR BIFACIAL 550 WP,Solar Panel,NP-GJUG25-7571246
4,30-04-2025,MS2504122A1874,ADANI DCR BIFACIAL 550 WP,Solar Panel,NP-GJUG25-7571246
4,30-04-2025,MS2504112B1819,ADANI DCR BIFACIAL 550 WP,Solar Panel,NP-GJUG25-7571246
4,30-04-2025,MS2504122A2319,ADANI DCR BIFACIAL 550 WP,Solar Panel,NP-GJUG25-7571246
4,30-04-2025,MS2504072C0667,ADANI DCR BIFACIAL 550 WP,Solar Panel,NP-GJUG25-7571246
4,30-04-2025,MS2502102B3903,ADANI DCR BIFACIAL 550 WP,Solar Panel,NP-GJUG25-7571246
4,30-04-2025,SYS119116169286,SOLAR YAAN 3.3 KW,Inverter,NP-GJUG25-7571246
4023,01-05-2025,2411093314,DEYE 15.00 KW,Inverter,GUJ/RT/COM/10188331
4025,22-04-2025,RSEQTG4140425229604,RAYZON NON DCR TOPCON 585 WP,Solar Panel,GUJ/RT/RES/10186743
4025,22-04-2025,RSEQTG4140425229594,RAYZON NON DCR TOPCON 585 WP,Solar Panel,GUJ/RT/RES/10186743
4025,22-04-2025,RSEQTG5180425226670,RAYZON NON DCR TOPCON 585 WP,Solar Panel,GUJ/RT/RES/10186743
4025,22-04-2025,RSEQTG4140425230453,RAYZON NON DCR TOPCON 585 WP,Solar Panel,GUJ/RT/RES/10186743
4025,22-04-2025,RSEQTG4140425229904,RAYZON NON DCR TOPCON 585 WP,Solar Panel,GUJ/RT/RES/10186743
4025,22-04-2025,RSEQTG4140425229784,RAYZON NON DCR TOPCON 585 WP,Solar Panel,GUJ/RT/RES/10186743
4025,22-04-2025,RSEQTG4140425229675,RAYZON NON DCR TOPCON 585 WP,Solar Panel,GUJ/RT/RES/10186743
4025,22-04-2025,RSEQTG4140425229605,RAYZON NON DCR TOPCON 585 WP,Solar Panel,GUJ/RT/RES/10186743
4025,22-04-2025,RSEQTG5180425227075,RAYZON NON DCR TOPCON 585 WP,Solar Panel,GUJ/RT/RES/10186743
4025,22-04-2025,RSEPTG5190225320405,RAYZON NON DCR TOPCON 585 WP,Solar Panel,GUJ/RT/RES/10186743
4025,22-04-2025,RSEPTG5190225320368,RAYZON NON DCR TOPCON 585 WP,Solar Panel,GUJ/RT/RES/10186743
4025,22-04-2025,RSEPTG5190225320140,RAYZON NON DCR TOPCON 585 WP,Solar Panel,GUJ/RT/RES/10186743
4025,22-04-2025,RSEQTG4140425230428,RAYZON NON DCR TOPCON 585 WP,Solar Panel,GUJ/RT/RES/10186743
4025,22-04-2025,RSEQTG4140425229608,RAYZON NON DCR TOPCON 585 WP,Solar Panel,GUJ/RT/RES/10186743
4025,22-04-2025,SYS11911SC23649,SOLAR YAAN 8.0 KW,Inverter,GUJ/RT/RES/10186743
4029,05-03-2025,WS02249031598561,WAAREE NON DCR BIFACIAL 550 WP,Solar Panel,GUJ/RT/RES/10176793
4029,05-03-2025,WS02249031598544,WAAREE NON DCR BIFACIAL 550 WP,Solar Panel,GUJ/RT/RES/10176793
4029,05-03-2025,WS02249031598546,WAAREE NON DCR BIFACIAL 550 WP,Solar Panel,GUJ/RT/RES/10176793
4029,05-03-2025,WS02249031598642,WAAREE NON DCR BIFACIAL 550 WP,Solar Panel,GUJ/RT/RES/10176793
4029,05-03-2025,WS02249031598644,WAAREE NON DCR BIFACIAL 550 WP,Solar Panel,GUJ/RT/RES/10176793
4029,05-03-2025,WS02249031598141,WAAREE NON DCR BIFACIAL 550 WP,Solar Panel,GUJ/RT/RES/10176793
4029,05-03-2025,SYS1191161B9649,SOLAR YAAN 3.3 KW,Inverter,GUJ/RT/RES/10176793
4030,19-02-2025,WS022490331598550,WAAREE NON DCR BIFACIAL 540 WP,Solar Panel,GUJ/RT/COM/10174358
4030,19-02-2025,WS02259044074979,WAAREE NON DCR BIFACIAL 540 WP,Solar Panel,GUJ/RT/COM/10174358
4030,19-02-2025,WS02259044074992,WAAREE NON DCR BIFACIAL 540 WP,Solar Panel,GUJ/RT/COM/10174358
4030,19-02-2025,WS02259044074980,WAAREE NON DCR BIFACIAL 540 WP,Solar Panel,GUJ/RT/COM/10174358
4030,19-02-2025,WS02259044074991,WAAREE NON DCR BIFACIAL 540 WP,Solar Panel,GUJ/RT/COM/10174358
4030,19-02-2025,WS02259044074975,WAAREE NON DCR BIFACIAL 540 WP,Solar Panel,GUJ/RT/COM/10174358
4030,19-02-2025,WS02259044074965,WAAREE NON DCR BIFACIAL 540 WP,Solar Panel,GUJ/RT/COM/10174358
4030,19-02-2025,WS02259044074974,WAAREE NON DCR BIFACIAL 540 WP,Solar Panel,GUJ/RT/COM/10174358
4030,19-02-2025,WS02259044074994,WAAREE NON DCR BIFACIAL 540 WP,Solar Panel,GUJ/RT/COM/10174358
4030,19-02-2025,WS02259044072701,WAAREE NON DCR BIFACIAL 540 WP,Solar Panel,GUJ/RT/COM/10174358
